"id","matchDate","Country","League","Season","homeTeam","awayTeam","HBPFT","ABPFT","HBP1H","ABP1H","HBP2H","ABP2H","HTSFT","ATSFT","HTS1H","ATS1H","HTS2H","ATS2H","HSONFT","ASONFT","HSON1H","ASON1H","HSON2H","ASON2H","HSOFFFT","ASOFFFT","HSOFF1H","ASOFF1H","HSOFF2H","ASOFF2H"
"121857","25-06-26 00:00","World","World Cup - Final phase","2026","Morocco","Haiti","69","31","67","33","72","28","22","9","13","4","9","5","11","2","7","1","4","1","6","4","5","3","1","1"
"121860","24-06-26 21:00","World","World Cup - Final phase","2026","Switzerland","Canada","55","45","70","30","40","60","6","13","4","5","2","8","4","7","2","3","2","4","1","3","1","2","0","1"
"121859","24-06-26 21:00","World","World Cup - Final phase","2026","Bosnia & Herzegovina","Qatar","54","46","59","41","50","50","14","9","9","4","5","5","5","3","3","1","2","2","4","6","3","3","1","3"
"121850","24-06-26 04:00","World","World Cup - Final phase","2026","Colombia","D.R. Congo","64","36","66","34","60","40","20","7","14","2","6","5","9","1","6","0","3","1","5","4","3","2","2","2"
"121851","24-06-26 01:00","World","World Cup - Final phase","2026","Panama","Croatia","42","58","36","64","50","50","8","6","1","2","7","4","1","2","0","0","1","2","5","3","0","2","5","1"
"121852","23-06-26 22:00","World","World Cup - Final phase","2026","England","Ghana","79","21","78","22","80","20","19","2","6","0","13","2","3","1","0","0","3","1","10","0","2","0","8","0"
"121853","23-06-26 19:00","World","World Cup - Final phase","2026","Portugal","Uzbekistan","66","34","65","35","66","34","17","7","9","3","8","4","9","2","4","1","5","1","5","2","3","1","2","1"
"121846","23-06-26 05:00","World","World Cup - Final phase","2026","Jordan","Algeria","28","72","26","74","30","70","8","17","6","4","2","13","4","8","3","2","1","6","4","4","3","1","1","3"
"121847","23-06-26 02:00","World","World Cup - Final phase","2026","Norway","Senegal","42","58","50","50","32","68","13","16","8","6","5","10","7","4","4","1","3","3","3","7","3","3","0","4"
"121848","22-06-26 23:00","World","World Cup - Final phase","2026","France","Iraq","56","44","58","42","53","47","19","4","7","2","12","2","5","0","1","0","4","0","10","3","3","1","7","2"
"121849","22-06-26 19:00","World","World Cup - Final phase","2026","Argentina","Austria","54","46","60","40","47","53","12","6","3","2","9","4","5","1","2","0","3","1","4","5","1","2","3","3"
"121842","22-06-26 03:00","World","World Cup - Final phase","2026","New Zealand","Egypt","44","56","43","57","46","54","11","19","7","6","4","13","5","7","3","1","2","6","3","6","2","3","1","3"
"121843","22-06-26 00:00","World","World Cup - Final phase","2026","Uruguay","Cape Verde","65","35","65","35","65","35","17","12","11","2","6","10","2","4","2","1","0","3","8","4","5","1","3","3"
"121844","21-06-26 21:00","World","World Cup - Final phase","2026","Belgium","Iran","70","30","81","19","59","41","23","7","11","2","12","5","7","3","4","1","3","2","10","3","3","1","7","2"
"121845","21-06-26 18:00","World","World Cup - Final phase","2026","Spain","Saudi Arabia","67","33","71","29","63","37","22","3","17","2","5","1","8","1","5","0","3","1","12","1","11","1","1","0"
"121838","21-06-26 06:00","World","World Cup - Final phase","2026","Tunisia","Japan","38","62","34","66","41","59","2","11","1","5","1","6","0","5","0","3","0","2","1","3","1","2","0","1"
"121839","21-06-26 02:00","World","World Cup - Final phase","2026","Ecuador","Curacao","75","25","75","25","75","25","27","10","8","5","19","5","15","3","6","0","9","3","10","4","2","3","8","1"
"121840","20-06-26 22:00","World","World Cup - Final phase","2026","Germany","Ivory Coast","59","41","61","39","58","42","16","9","8","4","8","5","7","2","2","2","5","0","5","2","2","0","3","2"
"121841","20-06-26 19:00","World","World Cup - Final phase","2026","Netherlands","Sweden","51","49","59","41","43","57","10","16","5","9","5","7","7","8","4","4","3","4","2","5","1","4","1","1"
"121833","20-06-26 05:00","World","World Cup - Final phase","2026","Turkey","Paraguay","79","21","78","22","80","20","32","7","12","4","20","3","5","2","1","2","4","0","15","3","4","2","11","1"
"121834","20-06-26 02:30","World","World Cup - Final phase","2026","Brazil","Haiti","57","43","62","38","51","49","8","7","6","0","2","7","5","3","5","0","0","3","2","3","0","0","2","3"
"121835","20-06-26 00:00","World","World Cup - Final phase","2026","Scotland","Morocco","41","59","38","62","44","56","6","12","2","5","4","7","0","2","0","1","0","1","3","6","1","3","2","3"
"121836","19-06-26 21:00","World","World Cup - Final phase","2026","USA","Australia","62","38","70","30","54","46","10","5","9","2","1","3","2","2","2","1","0","1","2","3","2","1","0","2"
"121828","19-06-26 03:00","World","World Cup - Final phase","2026","Mexico","South Korea","42","58","47","53","37","63","8","9","3","2","5","7","4","2","1","0","3","2","3","4","2","1","1","3"
"121829","19-06-26 00:00","World","World Cup - Final phase","2026","Canada","Qatar","79","21","67","33","91","9","32","2","14","2","18","0","10","0","8","0","2","0","8","1","2","1","6","0"
"121830","18-06-26 21:00","World","World Cup - Final phase","2026","Switzerland","Bosnia & Herzegovina","62","38","69","31","55","45","13","5","4","3","9","2","7","3","1","1","6","2","3","1","2","1","1","0"
"121831","18-06-26 18:00","World","World Cup - Final phase","2026","Czech Republic","South Africa","38","62","37","63","39","61","14","17","5","5","9","12","3","4","1","0","2","4","8","5","4","2","4","3"
"121824","18-06-26 04:00","World","World Cup - Final phase","2026","Uzbekistan","Colombia","39","61","29","71","49","51","8","15","1","7","7","8","2","4","0","2","2","2","4","7","1","3","3","4"
"121825","18-06-26 01:00","World","World Cup - Final phase","2026","Ghana","Panama","38","62","36","64","40","60","8","11","0","3","8","8","2","4","0","1","2","3","4","5","0","1","4","4"
"121826","17-06-26 22:00","World","World Cup - Final phase","2026","England","Croatia","52","48","48","52","55","45","22","10","9","4","13","6","11","5","2","2","9","3","6","3","3","2","3","1"
"121827","17-06-26 19:00","World","World Cup - Final phase","2026","Portugal","D.R. Congo","75","25","80","20","69","31","7","8","2","6","5","2","1","2","1","2","0","0","4","3","0","1","4","2"
"121820","17-06-26 06:00","World","World Cup - Final phase","2026","Austria","Jordan","63","37","64","36","62","38","11","11","6","8","5","3","4","4","1","3","3","1","6","5","4","4","2","1"
"121821","17-06-26 03:00","World","World Cup - Final phase","2026","Argentina","Algeria","48","52","56","44","40","60","10","7","4","4","6","3","6","0","1","0","5","0","4","4","3","3","1","1"
"121822","17-06-26 00:00","World","World Cup - Final phase","2026","Iraq","Norway","39","61","40","60","38","62","11","12","9","7","2","5","1","5","1","3","0","2","8","4","6","2","2","2"
"121823","16-06-26 21:00","World","World Cup - Final phase","2026","France","Senegal","53","47","56","44","50","50","11","6","1","5","10","1","8","2","0","1","8","1","1","3","0","3","1","0"
"121816","16-06-26 03:00","World","World Cup - Final phase","2026","Iran","New Zealand","48","52","49","51","48","52","17","14","7","9","10","5","4","8","2","5","2","3","8","4","4","2","4","2"
"121817","16-06-26 00:00","World","World Cup - Final phase","2026","Saudi Arabia","Uruguay","33","67","41","59","25","75","7","27","5","5","2","22","3","10","3","2","0","8","3","10","2","2","1","8"
"121818","15-06-26 21:00","World","World Cup - Final phase","2026","Belgium","Egypt","54","46","58","42","49","51","15","14","7","4","8","10","3","3","0","2","3","1","7","3","3","1","4","2"
"121819","15-06-26 18:00","World","World Cup - Final phase","2026","Spain","Cape Verde","74","26","70","30","79","21","27","6","13","3","14","3","7","1","4","0","3","1","12","3","5","2","7","1"
"121812","15-06-26 04:00","World","World Cup - Final phase","2026","Sweden","Tunisia","49","51","54","46","43","57","13","6","5","3","8","3","7","2","3","1","4","1","3","3","2","1","1","2"
"121813","15-06-26 01:00","World","World Cup - Final phase","2026","Ivory Coast","Ecuador","48","52","45","55","52","48","15","12","6","6","9","6","4","1","1","0","3","1","8","8","2","6","6","2"
"121814","14-06-26 22:00","World","World Cup - Final phase","2026","Netherlands","Japan","60","40","69","31","48","52","10","10","4","3","6","7","6","3","2","0","4","3","3","6","2","3","1","3"
"121815","14-06-26 19:00","World","World Cup - Final phase","2026","Germany","Curacao","65","35","70","30","59","41","26","8","16","4","10","4","12","2","6","2","6","0","6","6","4","2","2","4"
"121802","14-06-26 06:00","World","World Cup - Final phase","2026","Australia","Turkey","28","72","31","69","26","74","9","30","4","10","5","20","4","8","2","2","2","6","4","10","2","5","2","5"
"121801","14-06-26 03:00","World","World Cup - Final phase","2026","Haiti","Scotland","54","46","45","55","64","36","15","9","8","7","7","2","2","2","1","2","1","0","9","5","5","4","4","1"
"121800","14-06-26 00:00","World","World Cup - Final phase","2026","Brazil","Morocco","51","49","54","46","49","51","12","14","6","12","6","2","5","3","2","2","3","1","4","5","2","4","2","1"
"121799","13-06-26 21:00","World","World Cup - Final phase","2026","Qatar","Switzerland","32","68","25","75","38","62","6","26","4","14","2","12","3","7","2","6","1","1","3","10","2","3","1","7"
"121798","13-06-26 03:00","World","World Cup - Final phase","2026","USA","Paraguay","65","35","72","28","59","41","16","9","7","2","9","7","6","1","4","0","2","1","6","3","2","2","4","1"
"121797","12-06-26 21:00","World","World Cup - Final phase","2026","Canada","Bosnia & Herzegovina","61","39","66","34","57","43","13","8","7","5","6","3","4","3","1","2","3","1","5","4","3","3","2","1"
"121796","12-06-26 04:00","World","World Cup - Final phase","2026","South Korea","Czech Republic","61","39","55","45","69","31","15","7","8","2","7","5","6","4","1","0","5","4","5","3","4","2","1","1"
"121795","11-06-26 21:00","World","World Cup - Final phase","2026","Mexico","South Africa","61","39","57","43","64","36","16","3","10","2","6","1","4","2","2","1","2","1","7","1","4","1","3","0"
