"id","matchDate","Country","League","Season","homeTeam","awayTeam","HCFT","ACFT","HC1H","AC1H","HC2H","AC2H","HYCFT","AYCFT","HYC1H","AYC1H","HYC2H","AYC2H"
"121845","21-06-26 18:00","World","World Cup - Final phase","2026","Spain","Saudi Arabia","6","1","4","1","2","0","0","2","0","1","0","1"
"121838","21-06-26 06:00","World","World Cup - Final phase","2026","Tunisia","Japan","3","5","1","2","2","3","0","0","0","0","0","0"
"121839","21-06-26 02:00","World","World Cup - Final phase","2026","Ecuador","Curacao","9","0","1","0","8","0","1","5","1","1","0","4"
"121840","20-06-26 22:00","World","World Cup - Final phase","2026","Germany","Ivory Coast","8","3","3","1","5","2","0","0","0","0","0","0"
"121841","20-06-26 19:00","World","World Cup - Final phase","2026","Netherlands","Sweden","2","5","1","2","1","3","0","3","0","0","0","3"
"121833","20-06-26 05:00","World","World Cup - Final phase","2026","Turkey","Paraguay","12","0","5","0","7","0","1","1","0","1","1","0"
"121834","20-06-26 02:30","World","World Cup - Final phase","2026","Brazil","Haiti","4","4","4","1","0","3","1","3","0","2","1","1"
"121835","20-06-26 00:00","World","World Cup - Final phase","2026","Scotland","Morocco","2","5","0","3","2","2","1","1","0","1","1","0"
"121836","19-06-26 21:00","World","World Cup - Final phase","2026","USA","Australia","7","4","3","2","4","2","3","4","0","2","3","2"
"121828","19-06-26 03:00","World","World Cup - Final phase","2026","Mexico","South Korea","0","2","0","0","0","2","0","2","0","1","0","1"
"121829","19-06-26 00:00","World","World Cup - Final phase","2026","Canada","Qatar","19","1","5","1","14","0","1","1","1","0","0","1"
"121830","18-06-26 21:00","World","World Cup - Final phase","2026","Switzerland","Bosnia & Herzegovina","7","3","4","2","3","1","1","2","0","0","1","2"
"121831","18-06-26 18:00","World","World Cup - Final phase","2026","Czech Republic","South Africa","5","5","2","3","3","2","1","2","0","2","1","0"
"121824","18-06-26 04:00","World","World Cup - Final phase","2026","Uzbekistan","Colombia","3","4","1","2","2","2","1","1","1","1","0","0"
"121825","18-06-26 01:00","World","World Cup - Final phase","2026","Ghana","Panama","2","2","0","0","2","2","1","2","1","0","0","2"
"121826","17-06-26 22:00","World","World Cup - Final phase","2026","England","Croatia","8","2","3","1","5","1","0","0","0","0","0","0"
"121827","17-06-26 19:00","World","World Cup - Final phase","2026","Portugal","D.R. Congo","5","4","1","3","4","1","3","1","1","1","2","0"
"121820","17-06-26 06:00","World","World Cup - Final phase","2026","Austria","Jordan","4","3","1","3","3","0","1","0","0","0","1","0"
"121821","17-06-26 03:00","World","World Cup - Final phase","2026","Argentina","Algeria","2","2","0","2","2","0","0","0","0","0","0","0"
"121822","17-06-26 00:00","World","World Cup - Final phase","2026","Iraq","Norway","2","5","2","2","0","3","1","0","0","0","1","0"
"121823","16-06-26 21:00","World","World Cup - Final phase","2026","France","Senegal","6","4","3","2","3","2","0","0","0","0","0","0"
"121816","16-06-26 03:00","World","World Cup - Final phase","2026","Iran","New Zealand","4","1","0","1","4","0","1","0","0","0","1","0"
"121817","16-06-26 00:00","World","World Cup - Final phase","2026","Saudi Arabia","Uruguay","4","14","4","2","0","12","1","0","1","0","0","0"
"121818","15-06-26 21:00","World","World Cup - Final phase","2026","Belgium","Egypt","2","7","0","4","2","3","2","2","1","2","1","0"
"121819","15-06-26 18:00","World","World Cup - Final phase","2026","Spain","Cape Verde","11","1","4","0","7","1","1","1","0","1","1","0"
"121812","15-06-26 04:00","World","World Cup - Final phase","2026","Sweden","Tunisia","4","2","2","0","2","2","0","1","0","0","0","1"
"121813","15-06-26 01:00","World","World Cup - Final phase","2026","Ivory Coast","Ecuador","3","5","2","0","1","5","3","1","3","0","0","1"
"121814","14-06-26 22:00","World","World Cup - Final phase","2026","Netherlands","Japan","5","4","3","1","2","3","3","0","0","0","3","0"
"121815","14-06-26 19:00","World","World Cup - Final phase","2026","Germany","Curacao","8","1","6","0","2","1","0","0","0","0","0","0"
"121802","14-06-26 06:00","World","World Cup - Final phase","2026","Australia","Turkey","5","8","2","2","3","6","0","1","0","0","0","1"
"121801","14-06-26 03:00","World","World Cup - Final phase","2026","Haiti","Scotland","4","3","0","0","4","3","1","3","1","0","0","3"
"121800","14-06-26 00:00","World","World Cup - Final phase","2026","Brazil","Morocco","6","2","2","0","4","2","2","0","2","0","0","0"
"121799","13-06-26 21:00","World","World Cup - Final phase","2026","Qatar","Switzerland","3","10","3","4","0","6","2","1","2","1","0","0"
"121798","13-06-26 03:00","World","World Cup - Final phase","2026","USA","Paraguay","3","1","2","0","1","1","1","5","0","1","1","4"
"121797","12-06-26 21:00","World","World Cup - Final phase","2026","Canada","Bosnia & Herzegovina","9","4","9","1","0","3","2","3","1","2","1","1"
"121796","12-06-26 04:00","World","World Cup - Final phase","2026","South Korea","Czech Republic","4","5","3","3","1","2","1","0","0","0","1","0"
"121795","11-06-26 21:00","World","World Cup - Final phase","2026","Mexico","South Africa","3","1","2","1","1","0","1","2","1","1","0","1"
