"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"121856","25-06-26 03:00","World","World Cup - Final phase","2026","South Africa","South Korea","5.73","3.84","1.68","1.07","8.51","1.41","2.93","2.18","1.69","4.03","1.25","7.93","1.08","2.16","1.70"
"121855","25-06-26 03:00","World","World Cup - Final phase","2026","Czech Republic","Mexico","4.62","4.03","1.77","1.07","8.49","1.43","2.83","2.33","1.65","4.21","1.23","8.23","1.08","1.98","1.83"
"121858","25-06-26 00:00","World","World Cup - Final phase","2026","Scotland","Brazil","11.00","5.74","1.31","1.03","13.00","1.25","4.00","1.86","2.00","3.13","1.37","5.63","1.14","2.20","1.67"
"121857","25-06-26 00:00","World","World Cup - Final phase","2026","Morocco","Haiti","1.34","5.56","9.69","1.01","15.00","1.19","4.74","1.57","2.42","2.47","1.54","4.34","1.22","2.12","1.72"
"121860","24-06-26 21:00","World","World Cup - Final phase","2026","Switzerland","Canada","2.54","3.06","3.22","1.07","8.51","1.35","3.19","2.16","1.74","3.73","1.28","7.30","1.09","1.79","2.02"
"121859","24-06-26 21:00","World","World Cup - Final phase","2026","Bosnia & Herzegovina","Qatar","1.44","5.13","7.18","1.01","14.00","1.19","4.74","1.57","2.42","2.47","1.54","4.34","1.22","1.76","2.06"
"121850","24-06-26 04:00","World","World Cup - Final phase","2026","Colombia","D.R. Congo","1.57","3.98","7.14","1.06","9.57","1.32","3.41","2.06","1.82","3.73","1.28","7.30","1.09","2.12","1.73"
"121851","24-06-26 01:00","World","World Cup - Final phase","2026","Panama","Croatia","8.16","4.71","1.44","1.02","13.70","1.20","4.56","1.71","2.21","2.65","1.49","4.87","1.18","1.89","1.92"
"121852","23-06-26 22:00","World","World Cup - Final phase","2026","England","Ghana","1.20","7.61","15.20","1.01","16.00","1.18","4.79","1.52","2.53","2.36","1.59","4.03","1.25","2.29","1.63"
"121853","23-06-26 19:00","World","World Cup - Final phase","2026","Portugal","Uzbekistan","1.14","9.71","19.30","1.02","19.00","1.12","6.38","1.41","2.93","2.06","1.82","3.33","1.33","2.31","1.62"
"121846","23-06-26 05:00","World","World Cup - Final phase","2026","Jordan","Algeria","6.63","4.59","1.51","1.04","11.60","1.25","3.95","1.86","2.01","2.98","1.39","5.82","1.14","1.92","1.88"
