match,market,selection,probability,book,timestamp,line,source,definition
USA vs Australia,1X2,USA,0.57,Consensus,2026-06-19T14:00:00Z,,manual_benchmark,Public odds approximate de-vigged consensus
USA vs Australia,1X2,Draw,0.25,Consensus,2026-06-19T14:00:00Z,,manual_benchmark,Public odds approximate de-vigged consensus
USA vs Australia,1X2,Australia,0.18,Consensus,2026-06-19T14:00:00Z,,manual_benchmark,Public odds approximate de-vigged consensus
USA vs Australia,totals,Over,0.48,Consensus,2026-06-19T14:00:00Z,2.5,manual_benchmark,Public odds approximate de-vigged consensus
USA vs Australia,totals,Under,0.52,Consensus,2026-06-19T14:00:00Z,2.5,manual_benchmark,Public odds approximate de-vigged consensus
